iter	MultiClass
0	1.020538815
1	0.9536289956
2	0.8983779375
3	0.8446540129
4	0.7995728838
5	0.7589284692
6	0.7247234249
7	0.6906725706
8	0.6597248739
9	0.6254323298
10	0.599596343
11	0.5698741534
12	0.5425504123
13	0.5175537242
14	0.4949703505
15	0.4762052476
16	0.4556242767
17	0.4395147658
18	0.4242780512
19	0.4076742167
20	0.3923004451
21	0.3799038043
22	0.365302224
23	0.3540640247
24	0.3410354346
25	0.329025604
26	0.3196466933
27	0.308642422
28	0.2985248621
29	0.2889823794
30	0.2798180081
31	0.2713398317
32	0.263165595
33	0.2555550996
34	0.2486220158
35	0.2417574702
36	0.2361705409
37	0.2308140865
38	0.2260066263
39	0.2211957125
40	0.2157260448
41	0.2106650103
42	0.2058491037
43	0.2012240833
44	0.1974978948
45	0.1933365293
46	0.1893679803
47	0.1856070213
48	0.1825374577
49	0.1798831848
50	0.1765458728
51	0.1734083616
52	0.1701438067
53	0.1672200953
54	0.164835225
55	0.1623717938
56	0.1603161587
57	0.1584752437
58	0.1562881925
59	0.1545625413
60	0.152570279
61	0.1503404107
62	0.1488031916
63	0.1474324408
64	0.1456538536
65	0.1444891524
66	0.1433500396
67	0.1421768535
68	0.1411649082
69	0.1401768379
70	0.1385655913
71	0.1375824372
72	0.1360750205
73	0.1345779315
74	0.1337347289
75	0.1325563427
76	0.1314615999
77	0.1302528848
78	0.1291458716
79	0.1282313818
80	0.1277826649
81	0.127157591
82	0.1263643425
83	0.1260223036
84	0.1251236943
85	0.1246581794
86	0.1238556358
87	0.1231607045
88	0.1224726321
89	0.1220096306
90	0.1216706156
91	0.1209170918
92	0.1206179711
93	0.1203491515
94	0.1199431735
95	0.1196801697
96	0.1193304693
97	0.1191549122
98	0.1189780464
99	0.1186878935
100	0.1184452266
101	0.1177807156
102	0.1175387663
103	0.1171116033
104	0.1165902183
105	0.1159995769
106	0.1157334543
107	0.1153577241
108	0.1151264346
109	0.11497155
110	0.1147553753
111	0.1142860638
112	0.1141559532
113	0.1140493828
114	0.1138771589
115	0.1137807567
116	0.1136790186
117	0.1136057197
118	0.1132465791
119	0.1128867537
120	0.1128333081
121	0.1125001906
122	0.112332124
123	0.1121125668
124	0.1120118218
125	0.1116919165
126	0.1116060248
127	0.1114447489
128	0.1113431907
129	0.1110914983
130	0.1107281447
131	0.1105985929
132	0.1105139073
133	0.110365973
134	0.1102130212
135	0.1101405414
136	0.1100494253
137	0.109824003
138	0.1096115725
139	0.109526452
140	0.1094288156
141	0.1093097522
142	0.1091598925
143	0.1090686812
144	0.1089806034
145	0.1088973215
146	0.1088515856
147	0.1087643621
148	0.1086498005
149	0.1085759343
150	0.1084813187
151	0.1083799076
152	0.1082688536
153	0.1081900458
154	0.1080564565
155	0.1079384296
156	0.1077783532
157	0.1075813195
158	0.1072609314
159	0.1072147222
160	0.1071011256
161	0.1070482547
162	0.1069405407
163	0.1067920613
164	0.1065454528
165	0.1064543214
166	0.1064245865
167	0.106327369
168	0.1060729454
169	0.1057814338
170	0.1056920016
171	0.1055792304
172	0.1054779638
173	0.1053407417
174	0.1052595338
175	0.105201993
176	0.1051045322
177	0.1049922025
178	0.104887479
179	0.1047977637
180	0.1047641033
181	0.1046935751
182	0.1046219645
183	0.1045531043
184	0.1044743751
185	0.1043219116
186	0.104183462
187	0.1041285917
188	0.1040422777
189	0.1039767121
190	0.1039285245
191	0.1037448202
192	0.1035180316
193	0.1034757075
194	0.1034135184
195	0.1033611023
196	0.1032158111
197	0.1030658093
198	0.1029933986
199	0.1029660464
200	0.1028669062
201	0.1027633215
202	0.1027025218
203	0.1026488408
204	0.1025688465
205	0.1024359225
206	0.10227767
207	0.1021193007
208	0.1020720081
209	0.1020082786
210	0.1018636315
211	0.1018148821
212	0.1017792478
213	0.1017162641
214	0.1016519473
215	0.1015433679
216	0.1014925975
217	0.1014143346
218	0.1013440084
219	0.1013067289
220	0.1012606826
221	0.1011094385
222	0.1010480694
223	0.1009819945
224	0.1009212539
225	0.1008363763
226	0.1007948657
227	0.1007425977
228	0.1006529754
229	0.1005815368
230	0.1004167153
231	0.1003735406
232	0.1003130763
233	0.1002545299
234	0.1002119691
235	0.1001522056
236	0.1001172902
237	0.1000629751
238	0.1000269441
239	0.1000006971
240	0.09994809494
241	0.09973518713
242	0.0996507845
243	0.09961774067
244	0.09949951587
245	0.09946222051
246	0.09937319579
247	0.09931495962
248	0.09926843696
249	0.09920252072
250	0.09903333802
251	0.09897882458
252	0.09892801859
253	0.0988685627
254	0.09880859263
255	0.09859617052
256	0.0985078014
257	0.09844681781
258	0.09836142604
259	0.09832800966
260	0.09829206264
261	0.09819157386
262	0.09809059335
263	0.09796175678
264	0.09786769635
265	0.09783613993
266	0.09779112507
267	0.09774509401
268	0.09768285976
269	0.09757962579
270	0.09752504685
271	0.09743430091
272	0.09740015372
273	0.09734619877
274	0.09730976324
275	0.09725978233
276	0.09722908198
277	0.09719995826
278	0.09714031764
279	0.09706902029
280	0.09700317714
281	0.09695186103
282	0.09691842858
283	0.09688927907
284	0.09681014443
285	0.09678696553
286	0.09673822222
287	0.09667470541
288	0.09659345386
289	0.09654885272
290	0.0964620748
291	0.09629822416
292	0.09622159415
293	0.09618303651
294	0.09613924465
295	0.0960522549
296	0.09600930042
297	0.09598781211
298	0.09593676687
299	0.09589916448
300	0.09581953795
301	0.09572569125
302	0.09566034554
303	0.09560954
304	0.09557027677
305	0.09550132345
306	0.09542436209
307	0.09536679471
308	0.09534243794
309	0.09520762302
310	0.09517984716
311	0.09511781295
312	0.0950383654
313	0.09497789205
314	0.09494604219
315	0.09491585768
316	0.09487200956
317	0.09484592648
318	0.09480597795
319	0.09474400126
320	0.0946914073
321	0.09461926277
322	0.09459552547
323	0.09448265352
324	0.09445613136
325	0.09440985662
326	0.09437412152
327	0.09423701985
328	0.09422375837
329	0.09419977925
330	0.09409703474
331	0.09403861986
332	0.09399231179
333	0.09392175044
334	0.09387076941
335	0.09382617827
336	0.09379435474
337	0.09377021079
338	0.09373313321
339	0.09370980126
340	0.09364320461
341	0.09362407881
342	0.09357813074
343	0.09346943
344	0.09336938005
345	0.09333314656
346	0.0932925952
347	0.09325813792
348	0.09322453914
349	0.09316936837
350	0.0931221438
351	0.0930686151
352	0.09303009613
353	0.09297351912
354	0.09290958809
355	0.09286911137
356	0.09281585354
357	0.09276922507
358	0.09274430262
359	0.09270071701
360	0.09263597547
361	0.09259376977
362	0.09249301088
363	0.09245405741
364	0.09243671775
365	0.09239815446
366	0.09236705881
367	0.09233752187
368	0.09228777913
369	0.09219180822
370	0.09216516643
371	0.09211043082
372	0.09208671293
373	0.09205391221
374	0.09200365582
375	0.09184484632
376	0.09181542293
377	0.09177135605
378	0.09172672536
379	0.09168193833
380	0.09161706344
381	0.09158897006
382	0.09154809757
383	0.09149439244
384	0.09144847564
385	0.09140910865
386	0.09139030517
387	0.09135243561
388	0.09132300002
389	0.0912059619
390	0.09117425248
391	0.09114650995
392	0.09108602871
393	0.09106259657
394	0.09097667948
395	0.09095170004
396	0.09090323871
397	0.09084846637
398	0.09081187927
399	0.09078876723
400	0.09074147158
401	0.09072039778
402	0.09070070747
403	0.09066599909
404	0.09060563704
405	0.09056603381
406	0.09053560057
407	0.09051623505
408	0.09048123346
409	0.09043984053
410	0.09041224794
411	0.09037475807
412	0.09034751899
413	0.09029757517
414	0.09024862753
415	0.09020090559
416	0.0901814197
417	0.09012340015
418	0.0900756161
419	0.0900514851
420	0.0900038829
421	0.08995585163
422	0.08991280248
423	0.08988797759
424	0.08986076483
425	0.08984412944
426	0.08980040567
427	0.08977627724
428	0.0897256125
429	0.08969514051
430	0.08966245376
431	0.08963200002
432	0.08960799976
433	0.08955682847
434	0.08951557535
435	0.08948889132
436	0.08945584436
437	0.08943741207
438	0.08942412798
439	0.0893784049
440	0.08936002411
441	0.08933222715
442	0.08931216135
443	0.08929583343
444	0.08924097853
445	0.08920763647
446	0.08918256376
447	0.08916706832
448	0.08913840199
449	0.08909251172
450	0.08896976316
451	0.0889352256
452	0.08890614337
453	0.08888199222
454	0.08884937528
455	0.08879941924
456	0.08876508492
457	0.08872150643
458	0.088664636
459	0.08862353839
460	0.08859248473
461	0.08854672619
462	0.08852173474
463	0.08849351254
464	0.08843067418
465	0.0883880085
466	0.08836556389
467	0.08833659272
468	0.08829728975
469	0.08825960705
470	0.08822988918
471	0.08817270486
472	0.08815510611
473	0.08810931652
474	0.0880850154
475	0.08805438241
476	0.08802246633
477	0.08800814447
478	0.08798719755
479	0.08796660665
480	0.08793849294
481	0.08790383727
482	0.08787104736
483	0.08784544913
484	0.08783111831
485	0.08781509196
486	0.08776302039
487	0.08774125586
488	0.08769170914
489	0.08765944068
490	0.08764503678
491	0.08762386685
492	0.08758169247
493	0.08756041905
494	0.08754169903
495	0.08752232531
496	0.08748771393
497	0.08744771023
498	0.08740963488
499	0.08737909376
